cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,staff_pick,spotlight,category & sub-category,category,subcategory,subcategory_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,100,failed,0,CA,CAD,2020-02-13 06:00:00+00:00,2021-03-01 06:00:00+00:00,False,False,food/food trucks,food,food trucks,subcat1
1621,3765,Odom Inc,Managed bottom-line architecture,1400,1400,successful,158,US,USD,2021-01-25 06:00:00+00:00,2021-05-25 05:00:00+00:00,False,True,music/rock,music,rock,subcat2
1812,4187,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400,108400,successful,1425,AU,AUD,2020-12-17 06:00:00+00:00,2021-12-30 06:00:00+00:00,False,False,technology/web,technology,web,subcat3
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,4200,failed,24,US,USD,2021-10-21 05:00:00+00:00,2022-01-17 06:00:00+00:00,False,False,music/rock,music,rock,subcat2
1365,2199,Larson-Little,Proactive foreground core,7600,7600,failed,53,US,USD,2020-12-21 06:00:00+00:00,2021-08-23 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2057,5650,Harris Group,Open-source optimizing database,7600,7600,successful,174,DK,DKK,2020-12-11 06:00:00+00:00,2021-08-29 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1894,5889,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200,5200,failed,18,GB,GBP,2020-07-31 05:00:00+00:00,2021-05-11 05:00:00+00:00,False,False,film & video/documentary,film & video,documentary,subcat5
2669,4842,Carter-Guzman,Centralized cohesive challenge,4500,4500,successful,227,DK,DKK,2020-12-22 06:00:00+00:00,2021-09-21 05:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
1114,3280,Nunez-Richards,Exclusive attitude-oriented intranet,110100,110100,live,708,DK,DKK,2020-04-08 05:00:00+00:00,2021-03-10 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,6200,failed,44,US,USD,2021-08-13 05:00:00+00:00,2021-08-31 05:00:00+00:00,False,False,music/electric music,music,electric music,subcat6
2340,3064,Green Ltd,Monitored empowering installation,5200,5200,successful,220,US,USD,2020-07-11 05:00:00+00:00,2021-08-02 05:00:00+00:00,False,False,film & video/drama,film & video,drama,subcat7
601,4904,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300,6300,failed,27,US,USD,2020-08-11 05:00:00+00:00,2021-06-26 05:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
1950,1299,Kim Ltd,Assimilated hybrid intranet,6300,6300,failed,55,US,USD,2020-11-14 06:00:00+00:00,2021-04-09 05:00:00+00:00,False,False,film & video/drama,film & video,drama,subcat7
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,4200,successful,98,US,USD,2020-11-11 06:00:00+00:00,2021-11-06 05:00:00+00:00,False,False,music/indie rock,music,indie rock,subcat8
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,28200,failed,200,US,USD,2021-11-14 06:00:00+00:00,2022-01-02 06:00:00+00:00,False,False,music/indie rock,music,indie rock,subcat8
505,4495,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200,81200,failed,452,US,USD,2021-10-25 05:00:00+00:00,2021-12-16 06:00:00+00:00,False,False,technology/wearables,technology,wearables,subcat9
1245,4269,Hines Inc,Cross-platform systemic adapter,1700,1700,successful,100,US,USD,2021-08-20 05:00:00+00:00,2021-12-22 06:00:00+00:00,False,False,publishing/nonfiction,publishing,nonfiction,subcat10
2550,2226,Cochran-Nguyen,Seamless 4thgeneration methodology,84600,84600,successful,1249,US,USD,2020-04-12 05:00:00+00:00,2021-03-24 05:00:00+00:00,False,False,film & video/animation,film & video,animation,subcat11
875,1558,Johnson-Gould,Exclusive needs-based adapter,9100,9100,canceled,135,US,USD,2021-03-24 05:00:00+00:00,2022-01-27 06:00:00+00:00,False,False,theater/plays,theater,plays,subcat4
2283,2307,Perez-Hess,Down-sized cohesive archive,62500,62500,failed,674,US,USD,2021-10-12 05:00:00+00:00,2021-11-17 06:00:00+00:00,False,True,theater/plays,theater,plays,subcat4
